Name;Index;Count;TotalTrades;BasePrice;DailyVolume
[Archer] Calpheon Noble Suit;12697;33;4788;700;2
[Archer] Delphe Knight Armor;12699;0;661;5,200,000;1
[Archer] Edan's Travel Wear;12700;0;950;1,120,000;1
[Archer] Garnier Troupe Garb;12698;0;59;1,400,000;0
[Archer] Jordine's Casual Wear;12701;0;74;1,400,000;0
[Archer] Karlstein Armor;754076;0;3;148,000,000;0
[Archer] Karlstein Crossbow;754077;0;1;52,500,000;0
[Archer] Karlstein Hat;754075;0;3;31,700,000;0
[Archer] Karlstein Ra'ghon;754078;0;2;38,900,000;0
[Archer] Serendian Formal Suit;12703;0;73;2,330,000;0
[Archer] Serendian Smith Garb;12715;0;38;1,680,000;0
[Archer] Serendian Soldier Armor;12702;0;39;785;0
[Archer] Shroud Knight Armor;12705;0;1001;2,700,000;0
[Archer] Valencian Travel Wear;12704;0;63;2,240,000;0
[Basic Dye] Blade Silver;17313;0;2597;20,900,000;1
[Basic Dye] Dark Black;17316;0;14207;20,900,000;1
[Basic Dye] Deep Bronze;17315;0;1746;20,900,000;1
[Basic Dye] Real Blue;17272;0;3979;20,900,000;1
[Basic Dye] Real Red;17128;0;5688;20,900,000;1
[Basic Dye] Real Yellow;17200;0;4514;20,900,000;1
[Basic Dye] Snow White;17312;0;14623;20,900,000;1
[Berserker] Calpheon Noble Suit;14202;15;6961;770;2
[Berserker] Delphe Knight Armor;14870;0;141;5,600,000;1
[Berserker] Edan's Travel Wear;14846;0;1363;1,120,000;1
[Berserker] Garnier Troupe Garb;14212;0;110;1,400,000;1
[Berserker] Jordine's Casual Wear;14297;0;101;1,400,000;0
[Berserker] Karlstein Armor;754016;0;4;155,000,000;0
[Berserker] Karlstein Axe;754017;0;2;50,500,000;0
[Berserker] Karlstein Hat;754015;0;6;39,900,000;0
[Berserker] Karlstein Ornamental Knot;754018;0;1;28,300,000;0
[Berserker] Serendian Formal Suit;12526;0;63;2,330,000;0
[Berserker] Serendian Smith Garb;12502;0;80;1,680,000;1
[Berserker] Serendian Soldier Armor;14285;0;349;785;0
[Berserker] Shroud Knight Armor;12599;0;1774;2,500,000;1
[Berserker] Valencian Travel Wear;12620;0;95;2,240,000;0
[Calpheonian Dye] Black;46610;0;73;20,900,000;0
[Calpheonian Dye] True Aqua;46554;0;244;20,900,000;1
[Calpheonian Dye] True Deep Pink;46602;0;54;20,900,000;0
[Calpheonian Dye] True Indigo;46578;0;102;20,900,000;0
[Calpheonian Dye] True Lime;46530;0;163;20,900,000;0
[Calpheonian Dye] True Mint;46542;0;94;20,900,000;0
[Calpheonian Dye] True Orange;46506;0;162;20,900,000;1
[Calpheonian Dye] True Purple;46590;0;62;20,900,000;0
[Calpheonian Dye] True Red;46494;0;277;20,900,000;1
[Calpheonian Dye] True Sky;46566;0;70;20,900,000;0
[Calpheonian Dye] True Yellow;46518;0;146;20,900,000;0
[Combat] Trina Lead Bullet;16380;0;8332;252;1
[Corsair] Ahon Kirus Armor;12878;0;769;5,600,000;1
[Corsair] Black Leopard Armor;12879;0;19;2,800,000;0
[Corsair] Calpheon Noble Dress;12870;46;496;595;3
[Corsair] Delphe Knight Armor;12875;0;34;5,600,000;1
[Corsair] Garnier Troupe Garb;12871;0;7;865;0
[Corsair] Jarette's Armor;12877;0;15;4,490,000;0
[Corsair] Karlstein Armor;754104;0;4;181,000,000;0
[Corsair] Karlstein Hat;754103;0;2;51,500,000;0
[Corsair] Karlstein Mareca;754107;0;1;40,100,000;0
[Corsair] Karlstein Serenaca;754106;0;4;91,500,000;0
[Corsair] Orwen's Travel Wear;12876;0;67;2,520,000;1
[Corsair] Serendian Smith Garb;12872;0;5;875;0
[Corsair] Shroud Knight Armor;12880;0;4;1,940,000;0
[Corsair] Terrmian Casual Wear;12874;0;6;1,210,000;1
[Dark Knight] Ahon Kirus's Armor;12581;0;8278;5,600,000;1
[Dark Knight] Black Leopard Armor;12636;0;423;2,980,000;0
[Dark Knight] Calpheon Noble Dress;14345;0;9403;865;2
[Dark Knight] Delphe Knight Armor;12565;0;786;5,600,000;1
[Dark Knight] Garnier Troupe Garb;14346;0;419;1,400,000;0
[Dark Knight] Jarette's Armor;12564;0;747;5,600,000;1
[Dark Knight] Karlstein Armor;754062;0;14;157,000,000;0
[Dark Knight] Karlstein Hat;754061;0;4;48,200,000;0
[Dark Knight] Karlstein Kriegsmesser;754064;0;2;72,000,000;0
