Enh Level,Weapon WBG,Weapon Gr,Weapon Tuv,Weapon BS,Armor WBG,Armor Gr,Armor Tuv,Armor FG,Armor BS,Accessory BG,Accessory Gr,Accessory Tuv,Accessory Asu,Accessory Qu
1,1,1,1,1,1,1,1,,1,,,,,
2,1,1,1,1,1,1,1,,1,,,,,
3,1,1,1,1,1,1,1,,1,,,,,
4,1,1,1,1,1,1,1,,1,,,,,
5,1,1,1,1,1,1,1,,1,,,,,
6,1,1,1,1,0.9,0.9,0.9,,0.9,,,,,
7,1,1,1,1,0.25641,0.51282,0.8,,0.25641,,,,,
8,0.9,0.9,0.9,0.9,0.172413,0.344827,0.7,,0.172413,,,,,
9,0.204081,0.408163,0.7,0.204081,0.117647,0.235294,0.6,,0.117647,,,,,
10,0.142857,0.285714,0.5,0.142857,0.076923,0.153846,0.5,,0.076923,,,,,
11,0.1,0.2,0.3,0.1,0.0625,0.125,0.3,,0.0625,,,,,
12,0.06666,0.133333,0.2,0.06666,0.05,0.1,0.2,,0.5,,,,,
13,0.04,0.08,0.15,0.04,0.04,0.08,0.15,,0.04,,,,,
14,0.025,0.075,0.1,0.025,0.028571,0.075,0.1,,0.028571,,,,,
15,0.02,0.06,0.08,0.02,0.02,0.06,0.08,,0.02,,,,,
PRI,0.117647,0.117647,0.17,0.130769,0.117647,0.117647,0.17,0.02,0.130769,0.25,0.3,0.7,0.7,0.7
DUO,0.076923,0.076923,0.12,0.10625,0.076923,0.076923,0.12,0.01,0.10625,0.1,0.1,0.5,0.285714,0.35
TRI,0.0625,0.0625,0.08,0.034,0.0625,0.0625,0.08,0.005,0.034,0.075,0.075,0.4,0.133333,0.18
TET,0.02,0.02,0.05,0.0051,0.02,0.02,0.05,0.002,0.0051,0.025,0.025,0.3,0.06,
PEN,0.003,0.003,0.03,0.002,0.003,0.003,0.03,0.000025,0.002,0.005,0.005,0.2,0.04,
